caseid,educ,age,religion,region,wealthCat,wealthDec,urban,,,,,,,
192181  2,3,29,Evangelical / Protestant,Copan,Poorer,-60222,1,,,,,,,
192191  2,0,31,No religion,Copan,Poorest,-108037,1,,,,,,,
193 41  2,3,23,Evangelical / Protestant,Copan,Poorest,-102902,1,,,,,,,
193 51  2,6,20,Evangelical / Protestant,Copan,Middle,-27782,1,,,,,,,
193 61  2,6,26,Catholic,Copan,Poorest,-99440,1,,,,,,,
193 81  2,2,35,Catholic,Copan,Middle,-26631,1,,,,,,,
193101  2,5,41,Evangelical / Protestant,Copan,Poorer,-48769,1,,,,,,,
193111  2,6,40,Catholic,Copan,Middle,-24586,1,,,,,,,
193131  1,0,30,Evangelical / Protestant,Copan,Richer,50494,1,,,,,,,
193151  2,2,23,Catholic,Copan,Poorer,-61973,1,,,,,,,
193171  2,2,24,No religion,Copan,Poorer,-62089,1,,,,,,,
193201  2,2,47,Evangelical / Protestant,Copan,Poorest,-129131,1,,,,,,,
194 11  4,12,27,Evangelical / Protestant,Copan,Richest,164086,1,,,,,,,
194 41  2,1,26,Catholic,Copan,Richer,94326,1,,,,,,,
194 51  1,6,40,Catholic,Copan,Richer,70578,1,,,,,,,
194 51  6,8,16,Evangelical / Protestant,Copan,Richer,70578,1,,,,,,,
194 61  2,6,37,Catholic,Copan,Middle,32857,1,,,,,,,
194 71  1,5,37,Evangelical / Protestant,Copan,Middle,-3400,1,,,,,,,
194101  5,9,20,Evangelical / Protestant,Copan,Middle,36184,1,,,,,,,
194111  2,3,26,Evangelical / Protestant,Copan,Richer,105746,1,,,,,,,
194121  1,8,31,Catholic,Copan,Richer,109021,1,,,,,,,
194121  3,4,19,Evangelical / Protestant,Copan,Richer,109021,1,,,,,,,
194131  2,5,24,Evangelical / Protestant,Copan,Poorer,-78864,1,,,,,,,
194151  2,3,49,Evangelical / Protestant,Copan,Middle,-13472,1,,,,,,,
194191  4,12,19,Evangelical / Protestant,Copan,Middle,23725,1,,,,,,,
194201  4,6,28,Evangelical / Protestant,Copan,Richest,153439,1,,,,,,,
194201  6,12,22,Evangelical / Protestant,Copan,Richest,153439,1,,,,,,,
194201  9,6,16,Evangelical / Protestant,Copan,Richest,153439,1,,,,,,,
195 21  1,0,49,Catholic,Copan,Poorest,-115129,1,,,,,,,
195 31  2,3,47,Catholic,Copan,Poorest,-102938,1,,,,,,,
195 31  7,0,20,Catholic,Copan,Poorest,-102938,1,,,,,,,
195 61  1,0,45,Evangelical / Protestant,Copan,Poorer,-42139,1,,,,,,,
195 71  2,4,27,Catholic,Copan,Middle,34542,1,,,,,,,
195 81  2,6,41,Catholic,Copan,Poorer,-60210,1,,,,,,,
195101  2,4,33,Catholic,Copan,Middle,18069,1,,,,,,,
195121  2,3,48,Catholic,Copan,Poorer,-74455,1,,,,,,,
195131  1,6,42,Catholic,Copan,Middle,4938,1,,,,,,,
195161  2,0,40,Catholic,Copan,Poorer,-33486,1,,,,,,,
195171  2,4,26,Catholic,Copan,Poorest,-102791,1,,,,,,,
195181  2,6,49,Catholic,Copan,Richer,51123,1,,,,,,,
195191  2,1,45,Catholic,Copan,Poorer,-72161,1,,,,,,,
196 11  2,6,35,Catholic,Copan,Poorest,-113624,0,,,,,,,
196 21  4,11,24,No religion,Copan,Poorer,-36836,0,,,,,,,
196 31  2,6,28,Catholic,Copan,Richer,88932,0,,,,,,,
196 51  7,8,19,Catholic,Copan,Poorer,-74915,0,,,,,,,
196 51 13,4,30,Catholic,Copan,Poorer,-74915,0,,,,,,,
196 61  2,9,22,Evangelical / Protestant,Copan,Poorer,-49563,0,,,,,,,
196 71  2,2,17,No religion,Copan,Poorer,-59502,0,,,,,,,
196 81  2,4,28,Evangelical / Protestant,Copan,Poorest,-103163,0,,,,,,,
196 91  2,6,22,Evangelical / Protestant,Copan,Poorer,-79999,0,,,,,,,
196121  1,6,30,Catholic,Copan,Poorest,-100281,0,,,,,,,
196131  2,2,36,Evangelical / Protestant,Copan,Poorer,-47788,0,,,,,,,
196141  2,4,28,Catholic,Copan,Poorer,-60212,0,,,,,,,
196161  2,4,26,Catholic,Copan,Middle,-27855,0,,,,,,,
196171  1,6,25,Catholic,Copan,Poorest,-117259,0,,,,,,,
196191  2,2,31,Catholic,Copan,Poorer,-91641,0,,,,,,,
196201  2,6,25,Catholic,Copan,Middle,26687,0,,,,,,,
197 21  1,12,34,Catholic,Copan,Richer,87349,0,,,,,,,
197 61  2,6,27,Catholic,Copan,Richest,175580,0,,,,,,,
197 81  2,3,39,Catholic,Copan,Middle,1113,0,,,,,,,
197 91  2,6,33,Evangelical / Protestant,Copan,Richer,47722,0,,,,,,,
197101  2,1,26,Evangelical / Protestant,Copan,Middle,-3858,0,,,,,,,
197111  1,6,25,No religion,Copan,Middle,39678,0,,,,,,,
197121  4,1,31,Catholic,Copan,Poorer,-38586,0,,,,,,,
197161  1,4,24,Evangelical / Protestant,Copan,Middle,30590,0,,,,,,,
197171  1,6,45,Evangelical / Protestant,Copan,Richer,101853,0,,,,,,,
197181  2,2,29,Catholic,Copan,Poorest,-139023,0,,,,,,,
197191  2,1,46,Evangelical / Protestant,Copan,Middle,9676,0,,,,,,,
197201  2,6,32,Catholic,Copan,Middle,10991,0,,,,,,,
198 31  2,4,39,Evangelical / Protestant,Copan,Poorer,-91125,0,,,,,,,
198 41  2,3,31,Evangelical / Protestant,Copan,Poorer,-82846,0,,,,,,,
198 61  2,0,32,No religion,Copan,Poorest,-116202,0,,,,,,,
198 71  2,0,39,No religion,Copan,Poorest,-126217,0,,,,,,,
198 71  7,4,16,Catholic,Copan,Poorest,-126217,0,,,,,,,
198 91  2,1,30,Catholic,Copan,Poorer,-83168,0,,,,,,,
198101  2,6,33,Evangelical / Protestant,Copan,Poorest,-125602,0,,,,,,,
198111  1,0,44,Catholic,Copan,Poorer,-69431,0,,,,,,,
198121  2,6,20,No religion,Copan,Middle,-12330,0,,,,,,,
198131  2,1,49,Catholic,Copan,Middle,-24658,0,,,,,,,
198131  4,13,19,Catholic,Copan,Middle,-24658,0,,,,,,,
198141  5,2,31,Catholic,Copan,Poorer,-72142,0,,,,,,,
198151  2,6,35,Catholic,Copan,Poorer,-73543,0,,,,,,,
198171  2,6,38,Catholic,Copan,Poorer,-64351,0,,,,,,,
198171  8,10,18,Catholic,Copan,Poorer,-64351,0,,,,,,,
198181  2,6,29,Catholic,Copan,Richer,80179,0,,,,,,,
198191  2,14,34,Catholic,Copan,Middle,-27606,0,,,,,,,
199 11  2,0,40,Evangelical / Protestant,Copan,Poorest,-116987,0,,,,,,,
199 21  2,0,32,Evangelical / Protestant,Copan,Poorer,-70403,0,,,,,,,
199 41  2,1,34,Evangelical / Protestant,Copan,Poorer,-78366,0,,,,,,,
199 51  2,0,31,Catholic,Copan,Poorest,-100923,0,,,,,,,
199 61  2,6,18,Evangelical / Protestant,Copan,Poorer,-90685,0,,,,,,,
199 71  1,3,25,No religion,Copan,Poorer,-54880,0,,,,,,,
199 91  2,3,49,Evangelical / Protestant,Copan,Poorer,-58584,0,,,,,,,
199 91  3,5,23,Evangelical / Protestant,Copan,Poorer,-58584,0,,,,,,,
199121  2,3,45,Catholic,Copan,Poorer,-58610,0,,,,,,,
199141  2,3,27,No religion,Copan,Middle,-28507,0,,,,,,,
199161  2,3,43,No religion,Copan,Poorer,-84390,0,,,,,,,
199191  1,1,26,No religion,Copan,Poorest,-119770,0,,,,,,,
199201  2,6,40,Catholic,Copan,Poorer,-32469,0,,,,,,,
200 11  2,4,35,Catholic,Copan,Poorest,-105608,0,,,,,,,
200 21  2,5,27,Catholic,Copan,Poorest,-102228,0,,,,,,,
200 41  2,5,24,Catholic,Copan,Poorer,-43551,0,,,,,,,
200 51  2,4,29,Catholic,Copan,Poorest,-98044,0,,,,,,,
200 71  2,1,21,Catholic,Copan,Poorer,-57033,0,,,,,,,
200 81  2,2,27,Catholic,Copan,Poorest,-128134,0,,,,,,,
200 91  2,6,31,Catholic,Copan,Poorer,-71333,0,,,,,,,
200101  2,5,17,Catholic,Copan,Poorest,-91770,0,,,,,,,
200111  2,6,43,Catholic,Copan,Poorest,-96687,0,,,,,,,
200121  2,1,46,Catholic,Copan,Poorest,-99259,0,,,,,,,
200131  2,3,37,No religion,Copan,Poorest,-112892,0,,,,,,,
200151  2,6,49,Catholic,Copan,Poorer,-71423,0,,,,,,,
200181  4,3,20,Catholic,Copan,Poorest,-105400,0,,,,,,,
200191  2,6,21,Evangelical / Protestant,Copan,Poorest,-137821,0,,,,,,,
201 11  2,0,26,Evangelical / Protestant,Copan,Poorest,-125241,0,,,,,,,
201 21  2,4,25,No religion,Copan,Poorest,-105156,0,,,,,,,
201 31  2,0,44,Evangelical / Protestant,Copan,Poorest,-106660,0,,,,,,,
201 51  2,0,47,Evangelical / Protestant,Copan,Poorest,-116467,0,,,,,,,
201 61  1,0,18,No religion,Copan,Poorest,-118461,0,,,,,,,
201101  1,2,30,No religion,Copan,Poorest,-103618,0,,,,,,,
201121  2,0,48,Catholic,Copan,Middle,-15728,0,,,,,,,
201141  2,3,35,Evangelical / Protestant,Copan,Poorest,-116732,0,,,,,,,
201151  2,3,35,Evangelical / Protestant,Copan,Middle,1156,0,,,,,,,
201161  2,4,22,Evangelical / Protestant,Copan,Poorest,-98402,0,,,,,,,
201181  2,3,25,Evangelical / Protestant,Copan,Poorer,-76257,0,,,,,,,
202 11  4,3,40,Catholic,Copan,Poorest,-124790,0,,,,,,,
202 11 10,0,29,Catholic,Copan,Poorest,-124790,0,,,,,,,
202 21  2,3,23,Catholic,Copan,Poorer,-64760,0,,,,,,,
202 31  2,3,33,Evangelical / Protestant,Copan,Middle,-12235,0,,,,,,,
202 41  2,0,42,Catholic,Copan,Poorer,-75881,0,,,,,,,
202 41  8,1,20,Catholic,Copan,Poorer,-75881,0,,,,,,,
202 71  2,2,19,Evangelical / Protestant,Copan,Poorer,-43587,0,,,,,,,
202 81  2,3,38,Evangelical / Protestant,Copan,Poorer,-66072,0,,,,,,,
202102  2,0,29,No religion,Copan,Poorest,-138064,0,,,,,,,
202111  2,3,31,Evangelical / Protestant,Copan,Poorer,-63480,0,,,,,,,
202131  2,2,41,Evangelical / Protestant,Copan,Poorer,-58060,0,,,,,,,
202151  2,6,20,Evangelical / Protestant,Copan,Middle,-25125,0,,,,,,,
202181  2,3,43,Evangelical / Protestant,Copan,Poorer,-44803,0,,,,,,,
202201  2,4,37,Evangelical / Protestant,Copan,Poorer,-58602,0,,,,,,,
203 11  2,3,25,Evangelical / Protestant,Copan,Poorest,-110626,0,,,,,,,
203 21  2,15,26,Evangelical / Protestant,Copan,Middle,24072,0,,,,,,,
203 31  2,5,29,Evangelical / Protestant,Copan,Richer,64182,0,,,,,,,
203 81  2,3,42,No religion,Copan,Middle,46392,0,,,,,,,
203 91  2,4,35,No religion,Copan,Richer,68390,0,,,,,,,
203121  2,2,45,Evangelical / Protestant,Copan,Poorer,-68997,0,,,,,,,
203131  2,0,26,Evangelical / Protestant,Copan,Middle,-11660,0,,,,,,,
203141  6,3,31,Evangelical / Protestant,Copan,Middle,-2533,0,,,,,,,
203151  2,3,37,No religion,Copan,Middle,6586,0,,,,,,,
203161  2,3,42,Evangelical / Protestant,Copan,Richest,120773,0,,,,,,,
203171  2,7,23,Evangelical / Protestant,Copan,Richer,95851,0,,,,,,,
203181  1,3,37,Evangelical / Protestant,Copan,Poorest,-91789,0,,,,,,,
203182  2,6,26,,Copan,Poorer,-79436,0,,,,,,,
203191  2,3,45,Evangelical / Protestant,Copan,Middle,15305,0,,,,,,,
203201  2,3,48,Evangelical / Protestant,Copan,Poorer,-58117,0,,,,,,,
204 11  5,6,31,Catholic,Copan,Poorest,-108802,0,,,,,,,
204 21  2,0,44,Catholic,Copan,Poorer,-48441,0,,,,,,,
204 31  4,9,31,Catholic,Copan,Middle,43466,0,,,,,,,
204 41  3,4,38,No religion,Copan,Poorest,-113046,0,,,,,,,
204 81  2,3,35,Catholic,Copan,Poorest,-112086,0,,,,,,,
204 91  2,5,22,No religion,Copan,Poorest,-132004,0,,,,,,,
204111  2,1,39,No religion,Copan,Poorest,-159717,0,,,,,,,
204121  2,0,41,No religion,Copan,Poorest,-135137,0,,,,,,,
204131  2,3,34,Catholic,Copan,Poorest,-129488,0,,,,,,,
204141  2,0,26,Catholic,Copan,Poorest,-118918,0,,,,,,,
204161  2,3,34,No religion,Copan,Poorest,-130113,0,,,,,,,
204171  2,0,39,Catholic,Copan,Poorest,-155499,0,,,,,,,
204181  2,2,32,Catholic,Copan,Poorest,-137505,0,,,,,,,
204191  2,2,45,No religion,Copan,Poorest,-133655,0,,,,,,,
205 21  2,0,32,Catholic,Copan,Poorest,-117733,0,,,,,,,
205 41  2,0,31,Other,Copan,Poorest,-133452,0,,,,,,,
205 51  2,0,46,Catholic,Copan,Poorest,-138489,0,,,,,,,
205 51  6,0,23,Catholic,Copan,Poorest,-138489,0,,,,,,,
205 71  2,6,20,Evangelical / Protestant,Copan,Middle,-10343,0,,,,,,,
205 91  3,2,27,Catholic,Copan,Poorest,-92316,0,,,,,,,
205101  2,1,33,Catholic,Copan,Poorest,-110861,0,,,,,,,
205111  2,0,48,Evangelical / Protestant,Copan,Poorer,-87609,0,,,,,,,
205151  2,0,38,Catholic,Copan,Poorest,-106578,0,,,,,,,
205161  2,2,20,Catholic,Copan,Poorest,-131684,0,,,,,,,
205171  2,2,37,Catholic,Copan,Poorest,-102246,0,,,,,,,
205191  2,0,25,Catholic,Copan,Poorest,-127532,0,,,,,,,
205201  2,1,33,No religion,Copan,Poorest,-119449,0,,,,,,,
206 11  2,6,31,Catholic,Copan,Middle,9952,0,,,,,,,
206 41  2,6,43,Catholic,Copan,Richer,74860,0,,,,,,,
206 81  2,6,34,Catholic,Copan,Middle,-5632,0,,,,,,,
206101  2,1,49,Catholic,Copan,Poorest,-99044,0,,,,,,,
206101  5,6,21,Evangelical / Protestant,Copan,Poorest,-99044,0,,,,,,,
206111  2,9,24,Evangelical / Protestant,Copan,Poorer,-86578,0,,,,,,,
206121  2,6,47,Evangelical / Protestant,Copan,Poorer,-69752,0,,,,,,,
206161  2,2,42,Catholic,Copan,Poorer,-57391,0,,,,,,,
206171  2,2,25,Evangelical / Protestant,Copan,Middle,-16049,0,,,,,,,
206181  2,6,31,Catholic,Copan,Middle,-3182,0,,,,,,,
206191  2,6,39,Catholic,Copan,Poorer,-48012,0,,,,,,,
206201  2,1,35,No religion,Copan,Poorer,-51562,0,,,,,,,
207 11  2,0,35,No religion,Copan,Poorer,-52049,0,,,,,,,
207 21  2,6,23,Evangelical / Protestant,Copan,Middle,-27493,0,,,,,,,
207 41  2,2,33,No religion,Copan,Poorer,-80341,0,,,,,,,
207 51  2,4,28,Evangelical / Protestant,Copan,Poorer,-62391,0,,,,,,,
207 61  2,3,33,No religion,Copan,Poorest,-119065,0,,,,,,,
207 71  2,0,38,Other,Copan,Poorest,-121123,0,,,,,,,
207 72  2,0,32,No religion,Copan,Poorest,-111323,0,,,,,,,
207 91  7,0,32,No religion,Copan,Poorest,-121421,0,,,,,,,
207101  2,0,45,No religion,Copan,Poorest,-122314,0,,,,,,,
207131  2,0,29,No religion,Copan,Poorer,-83952,0,,,,,,,
207161  2,1,37,Catholic,Copan,Poorer,-55461,0,,,,,,,
207191  2,6,24,Evangelical / Protestant,Copan,Middle,-2417,0,,,,,,,
207201  2,4,23,Evangelical / Protestant,Copan,Poorer,-66073,0,,,,,,,
208 11  2,3,46,Catholic,Copan,Poorer,-48073,0,,,,,,,
208 31  2,6,37,Catholic,Copan,Poorer,-55075,0,,,,,,,
208 41  2,0,48,Catholic,Copan,Poorest,-92372,0,,,,,,,
208 41  4,3,23,Catholic,Copan,Poorest,-92372,0,,,,,,,
208 51  1,0,38,Catholic,Copan,Poorest,-129607,0,,,,,,,
208 61  2,3,36,Catholic,Copan,Poorer,-74596,0,,,,,,,
208 71  2,5,20,Catholic,Copan,Poorer,-61498,0,,,,,,,
208 81  2,6,40,Catholic,Copan,Poorer,-84796,0,,,,,,,
208 91  2,2,22,Catholic,Copan,Poorer,-65319,0,,,,,,,
208101  1,6,30,Catholic,Copan,Middle,2791,0,,,,,,,
208121  2,3,38,Catholic,Copan,Poorer,-71275,0,,,,,,,
208141  2,6,38,Evangelical / Protestant,Copan,Poorer,-57541,0,,,,,,,
208151  2,6,33,Catholic,Copan,Poorer,-84446,0,,,,,,,
208161  2,0,40,Catholic,Copan,Poorest,-119096,0,,,,,,,
208181  2,6,34,Evangelical / Protestant,Copan,Poorer,-76950,0,,,,,,,
208201  2,6,26,Evangelical / Protestant,Copan,Poorer,-68857,0,,,,,,,
208201  5,5,41,No religion,Copan,Poorer,-68857,0,,,,,,,
209 12  2,2,20,Evangelical / Protestant,Copan,Poorest,-124516,0,,,,,,,
209 21  2,1,40,Evangelical / Protestant,Copan,Poorer,-60301,0,,,,,,,
209 31  2,5,41,Catholic,Copan,Middle,-4176,0,,,,,,,
209 41  4,0,31,Evangelical / Protestant,Copan,Poorest,-92801,0,,,,,,,
209 51  2,4,32,Catholic,Copan,Poorer,-68468,0,,,,,,,
209 61  2,1,25,Catholic,Copan,Middle,4236,0,,,,,,,
209 71  2,1,25,Catholic,Copan,Poorest,-121382,0,,,,,,,
209 91  2,6,33,Evangelical / Protestant,Copan,Middle,-22128,0,,,,,,,
209101  4,1,17,Catholic,Copan,Poorer,-51843,0,,,,,,,
209111  1,16,41,Evangelical / Protestant,Copan,Richer,71333,0,,,,,,,
209121  2,3,38,Evangelical / Protestant,Copan,Poorer,-86059,0,,,,,,,
209131  2,6,30,Catholic,Copan,Middle,10823,0,,,,,,,
209141  1,0,49,Catholic,Copan,Poorer,-75234,0,,,,,,,
209141  8,6,22,Catholic,Copan,Poorer,-75234,0,,,,,,,
209171  2,6,32,Catholic,Copan,Middle,-18768,0,,,,,,,
209181  5,6,21,Catholic,Copan,Poorer,-79789,0,,,,,,,
209181  6,3,28,Catholic,Copan,Poorer,-79789,0,,,,,,,
209191  2,0,42,Catholic,Copan,Poorer,-63243,0,,,,,,,
209201  2,0,34,Catholic,Copan,Poorest,-138769,0,,,,,,,
210 21  2,0,43,No religion,Copan,Poorest,-123113,0,,,,,,,
210 21 10,2,18,No religion,Copan,Poorest,-123113,0,,,,,,,
210 51  2,2,34,Catholic,Copan,Poorest,-125367,0,,,,,,,
210 71  3,0,21,Evangelical / Protestant,Copan,Poorer,-74433,0,,,,,,,
210101  2,2,29,Catholic,Copan,Poorer,-51265,0,,,,,,,
210121  2,6,29,Catholic,Copan,Richer,55125,0,,,,,,,
210151  4,4,24,Evangelical / Protestant,Copan,Poorer,-37256,0,,,,,,,
210151  8,3,47,No religion,Copan,Poorer,-37256,0,,,,,,,
210171  2,1,36,Catholic,Copan,Poorest,-111788,0,,,,,,,
210201  2,0,23,Catholic,Copan,Poorer,-84452,0,,,,,,,
211 11  2,0,38,Catholic,Copan,Poorest,-99039,0,,,,,,,
211 21  1,5,43,Catholic,Copan,Poorer,-89704,0,,,,,,,
211 31  3,0,20,No religion,Copan,Poorer,-71203,0,,,,,,,
211 31  5,1,16,Catholic,Copan,Poorer,-71203,0,,,,,,,
211 41  2,2,33,No religion,Copan,Poorer,-85902,0,,,,,,,
211 61  2,2,39,Catholic,Copan,Poorest,-97429,0,,,,,,,
211 81  2,3,20,Catholic,Copan,Poorer,-66062,0,,,,,,,
211101  1,2,36,No religion,Copan,Poorer,-47800,0,,,,,,,
211111  2,4,30,Catholic,Copan,Middle,-10337,0,,,,,,,
211131  2,6,30,Catholic,Copan,Poorer,-90889,0,,,,,,,
211141  2,4,25,Catholic,Copan,Middle,-11537,0,,,,,,,
211161  1,0,39,Catholic,Copan,Poorest,-127019,0,,,,,,,
211171  1,0,24,Evangelical / Protestant,Copan,Poorer,-73176,0,,,,,,,
211171  7,3,27,Catholic,Copan,Poorer,-73176,0,,,,,,,
211181  2,1,35,Catholic,Copan,Poorest,-122498,0,,,,,,,
211191  2,2,26,Catholic,Copan,Poorest,-112450,0,,,,,,,
212 11  2,6,25,Catholic,Copan,Richest,163409,0,,,,,,,
212 31  2,2,39,Catholic,Copan,Richer,56260,0,,,,,,,
212 41  2,0,38,Catholic,Copan,Middle,3814,0,,,,,,,
212101  2,4,24,Evangelical / Protestant,Copan,Richer,93738,0,,,,,,,
212111  2,9,15,Catholic,Copan,Richer,51323,0,,,,,,,
212151  2,6,32,Catholic,Copan,Poorer,-78838,0,,,,,,,
212161  2,4,49,Catholic,Copan,Middle,43894,0,,,,,,,
212171  2,2,43,Catholic,Copan,Middle,-9252,0,,,,,,,
212181  2,3,40,No religion,Copan,Poorer,-37679,0,,,,,,,
212191  2,6,38,Evangelical / Protestant,Copan,Poorer,-33195,0,,,,,,,
213 11  2,8,21,Evangelical / Protestant,Copan,Poorer,-34221,0,,,,,,,
213 21  2,6,23,Evangelical / Protestant,Copan,Poorer,-46821,0,,,,,,,
213 31  2,0,25,Evangelical / Protestant,Copan,Poorer,-91625,0,,,,,,,
213 41  3,2,31,Evangelical / Protestant,Copan,Poorest,-101843,0,,,,,,,
213 61  2,3,23,Evangelical / Protestant,Copan,Poorer,-49074,0,,,,,,,
213 71  2,2,48,Evangelical / Protestant,Copan,Poorest,-95243,0,,,,,,,
213 81  2,3,21,Evangelical / Protestant,Copan,Poorest,-127398,0,,,,,,,
213111  2,0,24,Evangelical / Protestant,Copan,Poorest,-95447,0,,,,,,,
213121  2,0,30,Evangelical / Protestant,Copan,Poorer,-91128,0,,,,,,,
213131  2,3,27,Evangelical / Protestant,Copan,Poorer,-86789,0,,,,,,,
213141  2,13,16,Evangelical / Protestant,Copan,Poorer,-84052,0,,,,,,,
213172  2,3,24,Evangelical / Protestant,Copan,Poorest,-111983,0,,,,,,,
213181  2,6,27,Evangelical / Protestant,Copan,Middle,-288,0,,,,,,,
213191  6,1,22,Catholic,Copan,Poorer,-67912,0,,,,,,,
213201  2,3,32,Catholic,Copan,Poorest,-112399,0,,,,,,,
214 41  2,3,44,Catholic,Copan,Poorer,-90024,0,,,,,,,
214 41  6,0,23,No religion,Copan,Poorer,-90024,0,,,,,,,
214 61  2,6,20,Catholic,Copan,Poorest,-105350,0,,,,,,,
214 71  3,4,26,Catholic,Copan,Poorest,-100812,0,,,,,,,
214 81  2,2,37,Evangelical / Protestant,Copan,Poorer,-89349,0,,,,,,,
214 81  6,6,18,Evangelical / Protestant,Copan,Poorer,-89349,0,,,,,,,
214121  2,3,35,Catholic,Copan,Poorest,-112111,0,,,,,,,
214131  2,0,42,Catholic,Copan,Poorest,-111338,0,,,,,,,
214141  2,5,22,Catholic,Copan,Poorest,-115370,0,,,,,,,
214201  1,0,30,No religion,Copan,Poorer,-71481,0,,,,,,,
215 21  2,2,20,Evangelical / Protestant,Copan,Poorest,-128484,0,,,,,,,
215 41  2,6,22,Catholic,Copan,Poorer,-53764,0,,,,,,,
215 51  1,5,34,Catholic,Copan,Poorest,-93675,0,,,,,,,
215 81  2,12,40,Catholic,Copan,Middle,-778,0,,,,,,,
215 91  1,0,48,Catholic,Copan,Poorest,-98759,0,,,,,,,
215111  2,2,24,Other,Copan,Poorest,-113406,0,,,,,,,
215121  2,1,36,Catholic,Copan,Poorest,-100351,0,,,,,,,
215131  2,1,31,Catholic,Copan,Poorer,-90674,0,,,,,,,
215141  2,1,30,Catholic,Copan,Poorest,-102914,0,,,,,,,
215151  1,6,30,Catholic,Copan,Poorest,-92593,0,,,,,,,
215161  2,6,17,Catholic,Copan,Poorest,-122529,0,,,,,,,
215171  2,0,23,Catholic,Copan,Poorest,-92055,0,,,,,,,
215171  4,3,42,Catholic,Copan,Poorest,-92055,0,,,,,,,
215201  2,0,33,No religion,Copan,Poorer,-89604,0,,,,,,,
216 21  2,6,41,Catholic,Copan,Middle,-7389,0,,,,,,,
216 21  7,9,20,Catholic,Copan,Middle,-7389,0,,,,,,,
216 31  1,2,49,Catholic,Copan,Poorer,-79945,0,,,,,,,
216 31 10,0,28,No religion,Copan,Poorer,-79945,0,,,,,,,
216 71  2,6,31,Evangelical / Protestant,Copan,Poorest,-127103,0,,,,,,,
216 81  2,3,18,Evangelical / Protestant,Copan,Poorest,-124110,0,,,,,,,
216 91  2,2,17,Evangelical / Protestant,Copan,Poorest,-160452,0,,,,,,,
216101  2,3,16,No religion,Copan,Poorest,-135760,0,,,,,,,
216121  2,3,16,Catholic,Copan,Poorest,-119876,0,,,,,,,
216141  8,0,19,Evangelical / Protestant,Copan,Poorest,-125350,0,,,,,,,
216151  2,0,32,Catholic,Copan,Poorer,-87767,0,,,,,,,
216161  2,0,28,Catholic,Copan,Poorest,-121377,0,,,,,,,
216181  6,1,17,Catholic,Copan,Poorest,-105786,0,,,,,,,
216201  2,3,27,Catholic,Copan,Poorest,-126026,0,,,,,,,
217 11  3,1,22,No religion,Copan,Middle,23625,0,,,,,,,
217 11  5,3,34,Catholic,Copan,Middle,23625,0,,,,,,,
217 11  8,11,18,Catholic,Copan,Middle,23625,0,,,,,,,
217 41  2,6,35,Catholic,Copan,Richer,86533,0,,,,,,,
217 71  2,12,28,No religion,Copan,Richer,95140,0,,,,,,,
217 81  2,6,36,Catholic,Copan,Middle,26010,0,,,,,,,
217101  2,5,32,Catholic,Copan,Poorer,-34926,0,,,,,,,
217111  1,6,33,Catholic,Copan,Poorer,-52232,0,,,,,,,
217121  2,0,44,Catholic,Copan,Middle,12028,0,,,,,,,
217131  2,2,39,Catholic,Copan,Poorer,-54241,0,,,,,,,
217151  2,6,22,Catholic,Copan,Poorer,-64443,0,,,,,,,
217161  2,2,33,Catholic,Copan,Poorer,-70336,0,,,,,,,
217181  1,0,41,Evangelical / Protestant,Copan,Poorest,-101097,0,,,,,,,
217181  7,1,17,No religion,Copan,Poorest,-101097,0,,,,,,,
217201  2,0,23,Catholic,Copan,Middle,22861,0,,,,,,,
218 11  2,6,36,No religion,Copan,Richer,71291,0,,,,,,,
218 21  2,6,34,Evangelical / Protestant,Copan,Middle,38025,0,,,,,,,
218 31  2,2,42,Evangelical / Protestant,Copan,Middle,-3725,0,,,,,,,
218 41  2,6,33,Evangelical / Protestant,Copan,Poorer,-41166,0,,,,,,,
218 61  5,6,17,No religion,Copan,Poorer,-60164,0,,,,,,,
218 92  2,13,23,Evangelical / Protestant,Copan,Poorer,-74824,0,,,,,,,
218111  2,3,31,Catholic,Copan,Poorer,-81840,0,,,,,,,
218121  2,4,42,Catholic,Copan,Poorest,-93928,0,,,,,,,
218131  2,7,19,Catholic,Copan,Poorer,-58238,0,,,,,,,
218141  2,6,23,No religion,Copan,Poorer,-65140,0,,,,,,,
218161  2,6,26,Catholic,Copan,Middle,-18863,0,,,,,,,
218171  2,5,23,Catholic,Copan,Poorer,-70109,0,,,,,,,
219 11  2,6,33,Evangelical / Protestant,Copan,Richer,71444,0,,,,,,,
219 21  2,0,49,Evangelical / Protestant,Copan,Poorest,-99111,0,,,,,,,
219 22  1,1,30,Evangelical / Protestant,Copan,Poorer,-87656,0,,,,,,,
219 32  2,3,27,Evangelical / Protestant,Copan,Poorer,-89961,0,,,,,,,
219 41  2,2,33,Evangelical / Protestant,Copan,Poorer,-84622,0,,,,,,,
219 51  2,3,33,,Copan,Poorer,-72161,0,,,,,,,
219 61  2,0,38,Catholic,Copan,Poorest,-111704,0,,,,,,,
219 61  3,0,20,Catholic,Copan,Poorest,-111704,0,,,,,,,
219 71  2,2,33,Catholic,Copan,Poorest,-117401,0,,,,,,,
219 81  2,0,34,No religion,Copan,Poorer,-70705,0,,,,,,,
219101  2,2,27,Catholic,Copan,Poorest,-125624,0,,,,,,,
219131  2,4,47,Catholic,Copan,Middle,5190,0,,,,,,,
219141  2,4,26,Catholic,Copan,Poorer,-76773,0,,,,,,,
